artist,genre,style
22,4,21
20,7,4
16,6,20
17,2,12
9,10,23
1,2,3
22,10,21
9,4,23
25,7,17
11,6,21
9,4,23
14,2,24
14,4,24
1,6,21
17,6,12
12,9,15
22,8,21
7,3,23
9,4,23
7,3,23
20,8,4
18,4,21
17,1,12
13,8,9
20,6,4
4,1,12
14,4,24
13,10,9
10,8,21
22,5,21
22,6,21
25,7,17
16,9,20
12,10,15
15,6,9
9,4,23
12,7,15
14,10,3
19,5,3
20,6,4
17,9,12
8,6,21
14,8,24
6,4,12
17,9,12
21,2,9
25,6,17
16,4,20
22,8,21
15,2,20
16,6,20
19,2,3
22,8,21
21,10,12
16,4,20
20,6,4
1,1,21
16,4,12
1,5,21
14,4,24
25,6,17
25,2,17
7,3,23
14,10,3
11,2,21
9,10,23
7,3,23
17,6,12
12,2,15
8,7,21
25,6,17
4,4,12
22,2,21
21,7,24
5,6,12
17,6,12
3,1,12
16,4,12
4,4,12
2,1,12
22,4,20
4,2,12
7,3,23
14,4,24
17,10,12
4,1,12
11,1,12
18,2,20
1,1,3
17,5,12
16,2,12
12,10,9
5,4,12
8,6,21
5,4,12
14,4,24
15,2,12
2,4,12
20,10,4
15,9,7
25,2,17
14,4,24
18,9,9
15,10,7
21,4,20
14,8,24
1,5,3
9,4,23
15,9,7
14,2,24
22,4,20
20,10,4
14,4,24
22,10,21
20,2,4
18,2,20
3,4,12
18,4,21
1,8,21
6,1,12
9,7,23
12,3,15
4,1,12
7,3,23
18,4,21
25,6,17
3,4,12
20,8,4
22,8,20
15,2,20
7,3,23
8,6,21
2,4,21
22,2,21
17,4,12
12,2,15
10,4,21
1,2,3
14,4,24
12,3,15
22,9,21
4,4,12
14,8,24
11,1,12
18,4,21
18,10,21
18,8,20
25,6,17
4,2,12
16,4,7
13,2,9
11,4,12
22,4,21
18,10,20
7,3,23
3,1,12
14,1,3
3,10,12
9,4,23
16,1,7
5,10,12
2,4,12
22,4,20
13,4,20
22,8,21
12,7,15
25,6,17
25,7,17
22,8,20
1,2,3
25,7,17
10,4,21
5,8,12
14,10,24
14,4,24
15,5,9
22,9,20
5,5,12
3,2,12
14,10,3
7,3,23
25,8,17
11,10,12
15,2,9
12,2,7
4,2,12
3,5,12
14,10,24
5,2,12
15,6,7
11,2,21
8,10,21
22,8,20
20,10,4
20,6,4
17,5,12
14,4,24
22,8,21
4,1,12
22,6,20
22,4,21
21,5,7
18,10,21
22,4,20
7,3,23
12,7,15
15,8,7
13,4,9
9,10,23
22,8,21
16,2,23
9,1,23
21,2,7
22,8,21
13,6,21
10,8,21
4,10,12
18,8,7
12,2,15
10,4,21
2,4,12
18,10,21
7,3,23
13,10,20
18,10,20
19,2,3
8,6,21
22,4,21
4,4,12
15,2,9
11,6,21
0,10,17
7,3,23
6,1,21
14,10,3
19,2,3
14,8,21
1,10,21
18,10,21
22,8,20
13,4,9
6,4,12
4,1,12
10,4,21
17,6,12
14,10,3
3,4,12
22,10,20
14,4,24
1,8,21
22,8,21
14,9,21
4,4,12
17,5,12
18,4,20
17,5,12
7,3,23
14,2,3
22,8,20
13,10,10
15,9,2
11,4,12
21,7,0
1,8,21
4,1,12
17,4,12
6,4,12
4,4,12
7,7,23
17,5,12
8,6,21
22,2,21
7,3,23
25,7,17
22,8,21
11,6,21
8,6,21
4,4,12
22,8,20
4,4,12
18,6,20
17,2,12
14,4,24
19,10,3
4,4,12
9,10,23
20,7,4
12,2,9
17,6,12
17,6,12
4,10,12
1,2,3
22,8,20
15,9,7
22,2,21
8,6,21
3,10,12
1,6,21
18,1,20
15,5,9
22,6,21
22,8,21
15,9,2
12,6,7
21,10,24
10,4,21
22,6,21
4,10,12
22,8,21
17,2,12
19,2,3
19,10,3
18,9,21
9,10,23
21,7,24
15,9,2
22,8,21
